Price,Year,Make,Model,Mileage,Body style,Gearbox,Hand drive,Engine,Color,Custom cleared
7600.0,2021,Volkswagen,Polo,38000.0, Սեդան, Մեխանիկական, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
41000.0,2020,Mitsubishi,Pajero,10.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված է
6000.0,2005,Nissan,Tiida,156000.0, Սեդան, Ավտոմատ, Ձախ, Գազ, Այլ գույն,Մաքսազերծված է
6400.0,2006,Toyota,Land Cruiser Prado,170000.0, Ամենագնաց, Ավտոմատ, Ձախ, Դիզել, Սև,Մաքսազերծված չէ
13000.0,2019,Hyundai,Kona,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
7850.0,2019,Honda,Accord,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
11000.0,2018,Hyundai,Kona,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
14200.0,2016,BMW,428,34204.62344983089, Կուպե, Ավտոմատ, Ձախ, Բենզին, Կապույտ,Մաքսազերծված չէ
9200.0,2017,Ford,Fusion,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Ոսկեգույն,Մաքսազերծված չէ
14500.0,2019,Toyota,Corolla,26035.745689655174, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
13000.0,2017,Chevrolet,Express,33723.21639344262, Մինիվեն / Միկրոավտոբուս, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
15500.0,2017,Ford,Mustang,33723.21639344262, Կուպե, Ավտոմատ, Ձախ, Բենզին, Կարմիր,Մաքսազերծված չէ
15350.0,2020,Hyundai,Tucson,21441.624100719426, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
14600.0,2018,Toyota,Rav 4,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Մոխրագույն,Մաքսազերծված չէ
10000.0,2020,Toyota,Camry,35000.0, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
45800.0,2012,Lexus,LX 570,142000.0, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված է
10900.0,2017,Toyota,Corolla,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
12500.0,2018,Ford,Edge,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
14500.0,2016,Kia,Sorento,34204.62344983089, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
20000.0,2020,Toyota,Camry,21441.624100719426, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
8100.0,2019,Kia,Rio,26035.745689655174, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
34000.0,2017,BMW,750,33723.21639344262, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
20000.0,2021,Toyota,Camry,16736.334685598376, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
9100.0,2017,Hyundai,Elantra,33723.21639344262, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Արծաթագույն,Մաքսազերծված չէ
9000.0,2018,Kia,Forte,28601.52, Սեդան, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
15200.0,2020,Chevrolet,Equinox,21441.624100719426, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սև,Մաքսազերծված չէ
16000.0,2018,Hyundai,Tucson,28601.52, Ամենագնաց, Ավտոմատ, Ձախ, Բենզին, Սպիտակ,Մաքսազերծված չէ
